model_type,sequence_number,pnl
0,73,-0.0023949998285388574
0,74,-0.0001695818209555
0,229,-0.002179581657401286
0,230,-0.002987655403558165
0,285,-0.009312237743870355
0,461,-0.01608223757648375
0,462,-0.011692326326738112
0,478,-0.01048855071712751
1,679,-0.02185592264868319
0,734,-0.021203550379141234
1,820,-0.027976167839369737
0,820,-0.023922719701658934
1,823,-0.04183556082716677
1,844,-0.049492338293930516
1,899,-0.0648934754281072
1,1024,-0.07596732435922604
1,1435,-0.0744250801653834
1,1481,-0.07801782700698823
0,1481,-0.018058664150885306
1,1567,-0.07823489388101734
1,1672,-0.08062849826819729
0,1672,-0.04106458826572634
0,1699,-0.04027130483882502
1,1822,-0.07978359010303393
0,1822,-0.039807210821891204
1,1940,-0.07727767634787597
0,1940,-0.03542430986999534
1,2138,-0.0923212288034847
0,2138,-0.05263707127596717
1,2481,-0.10187979169131722
0,2481,-0.04751379096705932
1,2501,-0.10133424166997429
0,2501,-0.04728358594002202
1,2530,-0.1136348939180607
0,2546,-0.09400100325001404
0,2558,-0.10031105308735278
0,2574,-0.09981205707299523
1,2600,-0.11374383777729236
0,2600,-0.09978057105035987
1,2606,-0.1203886986913858
1,2958,-0.12120240415970329
0,2958,-0.1313949001050787
1,3232,-0.12268146743008401
0,3232,-0.1532420128933154
1,3531,-0.12386436469387263
0,3531,-0.16142919931735378
1,3590,-0.12381164776161313
0,3590,-0.1612956183089409
0,3674,-0.1612141388177406
1,3811,-0.11686806056241039
0,3811,-0.16020048565405887
1,4098,-0.13911288313101977
0,4098,-0.16920399792434182
1,4199,-0.1424253300356213
1,4253,-0.14894229196943343
1,4401,-0.14598646556260064
0,4401,-0.133745476428885
1,4423,-0.15419860127440188
1,4525,-0.16911589773371816
1,4612,-0.16992374007531907
1,4645,-0.1744000844337279
0,4790,-0.17732993930985685
0,4840,-0.2009055116068339
1,4862,-0.1727845230489038
1,4954,-0.17985611922631506
1,5083,-0.2324970935442252
0,5100,-0.34794666682137176
0,5117,-0.3527167888387339
0,5120,-0.35265997433452867
1,5291,-0.22738453463534825
0,5291,-0.330548790312605
1,5312,-0.2272338439943269
0,5312,-0.3304366399097489
1,5341,-0.2410294455185067
1,5593,-0.4251336470770184
0,5740,-0.6078732036985457
1,5791,-0.43968770805804525
0,5800,-0.6189432033570483
