model_type,sequence_number,pnl
0,116,-0.00986760416708421
0,120,-0.010928680319921114
0,122,-0.010898581560468301
1,546,-0.03310468795825727
0,546,-0.05502480032737367
0,783,-0.06408342653594445
0,791,-0.06423847899714019
0,797,-0.06415178286260925
0,1072,-0.05744646112725604
0,1392,-0.07366190569882747
0,1398,-0.09751954376406502
0,1489,-0.10001980670494959
1,1540,-0.026524933462496847
0,1540,-0.09672666151891463
0,1874,-0.14091671167989261
0,1935,-0.14215504661842715
0,1960,-0.14769725788210053
0,2016,-0.16295662478660233
1,2271,-0.10408684927097056
0,2271,-0.3272200428909855
0,2414,-0.3280802763911197
1,2710,-0.18782424158416688
0,2710,-0.5067489007778931
1,2714,-0.187064331228612
0,2714,-0.5053230283228913
0,2770,-0.5133116967917886
1,2794,-0.18922047385422047
0,2794,-0.5176532677287469
1,3026,-0.16089967076550238
0,3026,-0.49099582094640937
1,3029,-0.157334650575649
0,3029,-0.4881411314418074
1,3039,-0.14524171368975658
0,3039,-0.47846293640031945
1,3169,-0.14641362798283808
0,3169,-0.47952563961734995
1,3240,-0.14455674144846853
0,3240,-0.47766874682565685
1,3532,-0.18473571019421797
0,3532,-0.5301944493839983
0,3671,-0.5228233186644502
1,3710,-0.18451241523143835
0,3710,-0.52271167364961
1,3746,-0.1844329965970246
0,3746,-0.5226711443683598
1,3826,-0.17309395628399216
0,3826,-0.512357675266685
0,3989,-0.5151369406376034
1,4163,-0.1771904786437517
0,4163,-0.517184827462188
0,4267,-0.5141760171682108
1,4720,-0.19703887532523368
0,4720,-0.543435726678581
1,4725,-0.1982280739612179
0,4725,-0.5440251924737822
0,4726,-0.5439297428965801
1,4761,-0.18236193413031287
1,4762,-0.18228335822641384
1,4827,-0.18155615164141636
1,4873,-0.17572926974389702
1,4924,-0.17104623952764086
0,4924,-0.5415882350935135
0,5005,-0.5466816496918909
0,5011,-0.574511073413305
1,5131,-0.16616546688601375
0,5131,-0.569050026635523
1,5143,-0.16567928584117908
0,5143,-0.5685454475024017
1,5187,-0.16515629828791134
0,5187,-0.5680012845405145
1,5271,-0.17095079754653852
0,5271,-0.5776300661527785
1,5442,-0.06844604264188092
0,5442,-0.47975737566594034
1,5615,5.585515464190394e-05
0,5615,-0.41654795805516187
1,5666,0.006654578202869743
0,5666,-0.41324461055046413
1,5729,0.006440928598749451
1,5730,0.006665662382147275
0,5785,-0.39919717877637595
1,5793,0.0067365133872954175
0,5793,-0.39916181811713614
1,5837,-0.0028693952917819843
0,5837,-0.4133378760598134
0,5854,-0.41665567400923464
0,5967,-0.42144435676163994
0,6092,-0.4274645757250255
1,6141,-0.0022200183593668044
0,6141,-0.42698530858615413
1,6145,-0.006121121463365853
0,6145,-0.4289074596017599
1,6148,-0.0009153248684015125
0,6148,-0.42840827217150945
1,6252,-0.010549251339398324
0,6252,-0.43322516756597906
1,6262,-0.0032867591362446547
0,6262,-0.4298506865161471
1,6263,-0.0030859964172123
0,6263,-0.4297610915527912
1,6266,-0.003101097943726927
0,6266,-0.4297657604183769
1,6281,-0.010711815310060047
0,6281,-0.43317275603476446
1,6287,-0.010734955591033213
0,6287,-0.4331751666177297
1,6329,-0.03920537364319898
0,6329,-0.4735049569280818
1,6334,-0.02765484574774746
0,6334,-0.44978896010434255
1,6343,-0.02910689645796083
0,6343,-0.45289122650865465
1,6508,-0.09446399904845748
0,6508,-0.5556433855817886
1,6525,-0.09316991314699408
0,6525,-0.5539150067343144
1,6526,-0.09308603178942576
0,6526,-0.5538014587509679
1,6605,-0.14628881982935127
0,6605,-0.5902498948271386
1,6807,-0.23122981590859126
0,6807,-0.7432157985167578
1,6826,-0.22339196897519287
0,6826,-0.7284017236379441
1,6832,-0.21773438433592673
0,6832,-0.7178100817691302
0,6861,-0.7191585613327334
0,6869,-0.7206502230692422
0,6876,-0.7206800341082271
1,7036,-0.2248964900354622
0,7036,-0.7212364542938303
0,7039,-0.7213615720538655
1,7267,-0.29264761006925255
0,7267,-0.8010468534193933
1,7300,-0.2748714486224344
0,7300,-0.7842854597693076
1,7420,-0.28233663098944817
0,7420,-0.788020937499823
1,7932,-0.33022165224247146
0,7932,-0.8875742842792533
0,7948,-0.864289160919725
1,8197,-0.37535711500095204
0,8197,-0.9258952468080679
1,8200,-0.37299704940232914
0,8200,-0.9197984374332009
0,8285,-0.9551608725741971
0,8419,-0.964292419332196
0,8422,-0.9644507817720296
0,8429,-0.9641095863480587
0,8936,-0.9879230055375956
1,9066,-0.3529899330897024
0,9066,-0.9779198524774984
1,9216,-0.353334200946847
1,9524,-0.3805424462771043
0,9524,-1.1332044291775674
1,9537,-0.37753341990173794
0,9537,-1.1215773322765017
1,9548,-0.3775349134084536
0,9548,-1.1216082041646587
0,9567,-1.122613683983218
0,9654,-1.121675844915444
0,9734,-1.0941766286123311
0,9737,-1.0941703871067148
0,9740,-1.0941333321243292
1,9850,-0.3807250076060882
0,9850,-1.1048907489021076
1,9921,-0.4642141433432698
0,9921,-1.2347421225276776
1,9983,-0.46494403068209067
0,9983,-1.2351077493367484
1,9989,-0.4650087367481319
0,9989,-1.2351374747086084
1,9990,-0.4650315891485661
0,9990,-1.2351466910040472
0,10089,-1.2421645772847114
0,10090,-1.2426170008111512
0,10094,-1.2420530740491813
0,10096,-1.2420391132909572
1,10348,-0.46283873920037877
0,10348,-1.2397831328271423
0,10684,-1.2633483917015838
1,11038,-0.572555696737254
0,11038,-1.3710555938596372
1,11039,-0.5723211600270588
0,11039,-1.3711152428295463
1,11157,-0.597738128650235
0,11157,-1.4583557988808025
0,11173,-1.4579762698267587
1,11242,-0.5867207662086003
0,11242,-1.4524465091672027
1,11314,-0.589306099456735
0,11314,-1.4537340020469856
1,11316,-0.5893080722889863
0,11316,-1.4537394245999167
0,11363,-1.4678170286933891
0,11364,-1.4666120441397652
1,12044,-0.6473144242627313
0,12044,-1.5835122831194894
0,12368,-1.8780090483051026
1,12416,-0.6701628944138065
0,12416,-1.8995752789924154
1,12482,-0.6777050996752223
0,12482,-1.9033422946667997
1,13080,-0.6825611608364852
0,13080,-1.923618681190419
1,13245,-0.6840192950185155
0,13245,-1.9254853807360632
1,13410,-0.686403922343743
0,13410,-1.929086828706204
1,13412,-0.6863768866605824
0,13412,-1.9290438384050503
1,13472,-0.6820263555273414
0,13472,-1.9276070799387526
1,13727,-0.6608432612119941
0,13727,-1.887486227467889
1,13892,-0.6610029982693959
0,13892,-1.8840241203433834
1,13961,-0.6395745866902871
0,13961,-1.8580727542139357
1,14194,-0.6748144710873021
0,14194,-1.928339535574196
1,14241,-0.6776419907546369
0,14241,-1.931233502793475
1,14326,-0.6770153550605755
0,14326,-1.9309205822064541
0,14352,-1.9308519789628917
1,14377,-0.6772042726370273
0,14377,-1.930945897474885
1,14774,-0.6659767656237818
0,14774,-1.9253312577493489
1,14920,-0.7108178782800678
0,14920,-1.961816413095221
1,14934,-0.6999720624880865
0,14934,-1.9482763275009347
1,15557,-0.7643535030365456
0,15557,-2.0254075902485056
0,15877,-2.0476262525917264
1,15958,-0.7651914622838376
0,15958,-2.0480639174347743
1,15978,-0.7206785021699034
0,15978,-2.026055610374897
1,16014,-0.7187177936721127
0,16014,-2.0250729996769223
1,16034,-0.7346735143219121
0,16034,-2.046274978070869
1,16037,-0.7346008563181385
0,16037,-2.0462740453367587
1,16176,-0.7306887585873483
0,16176,-2.0423817626433447
1,16187,-0.7307050214440096
0,16187,-2.0423930486285826
1,16567,-0.7228284046868794
0,16567,-2.1693066272273427
0,17000,-2.246343421342317
1,17146,-0.7566341997880954
0,17146,-2.297263876942452
1,17163,-0.7607663797825808
0,17163,-2.31075413133658
1,17208,-0.7864814355416456
0,17208,-2.3533546697726706
1,17238,-0.7964385051600402
0,17238,-2.358333202675567
1,17266,-0.9082544040866196
0,17266,-2.414345062279608
1,17383,-0.905038265613257
0,17383,-2.4127362618310144
0,17927,-2.4346574240917107
