model_type,sequence_number,pnl
1,463,-0.007106793622369878
0,463,-0.0012799998366972432
1,594,-0.1008961698244093
0,594,-0.061654998833546415
1,643,-0.1114765740785515
0,647,-0.06727499850967433
1,719,-0.23018284866702743
0,720,-0.11622375423030462
1,793,-0.23363780253566802
1,841,-0.2852920988952974
1,842,-0.2858899952698266
1,847,-0.2867586064239731
0,878,-0.1847371247567935
1,946,-0.4315873975720024
0,955,-0.3186021707660984
1,958,-0.4337607905326877
0,958,-0.3194065268326085
1,964,-0.44080655311699957
1,1078,-0.4489415528078098
0,1078,-0.3297548688860843
1,1174,-0.8085881361621432
0,1174,-0.6219005331513472
1,1318,-0.8314936213573674
0,1318,-0.6367382565367734
1,1421,-0.8522362951771356
1,1551,-0.9815061754488852
0,1551,-0.7738432038604515
1,1570,-0.9948637473135022
1,1597,-1.0281021609698655
0,1597,-0.8104682030389085
1,1627,-1.0278866563312477
0,1627,-0.810216397017939
1,1750,-1.0413684540399117
0,1764,-0.8147963966766838
1,1786,-1.0515309995389543
0,1796,-0.8143563965131762
1,2008,-1.2087392898683902
0,2008,-1.0148646866728086
0,2037,-1.018050544167636
1,2080,-1.2444237274467014
0,2090,-1.0454805436747847
1,2153,-1.257983727104147
0,2153,-1.0590405433322303
1,2245,-1.2401304470695322
0,2245,-1.0521555430023
1,2401,-1.272555446383194
0,2401,-1.0845805423159618
1,2435,-1.2850006274675252
1,2476,-1.3063398928352399
1,2581,-1.346237061152351
0,2581,-1.2710655408300227
1,2636,-1.3524024292564718
0,2636,-1.2751655406609643
1,2734,-1.3639885946031427
0,2741,-1.2879505404998781
1,2977,-1.3642453313659644
0,2983,-1.287841450292035
1,3004,-1.3641735080746002
0,3004,-1.2877019931765972
1,3031,-1.3674176259228261
1,3032,-1.3678302902262658
0,3032,-1.2857069930178113
1,3082,-1.607194890966639
0,3082,-1.4484660653833998
1,3088,-1.6286980413860874
0,3088,-1.4640338154422352
1,3112,-1.632472932949895
0,3112,-1.4733373778726673
1,3289,-1.7842252413829556
1,3307,-1.7958699810988037
1,3363,-1.7908810978551628
0,3363,-1.6297173760394799
1,3374,-1.7888451137259835
0,3374,-1.6239530059392564
1,3464,-1.93763942104124
0,3464,-1.728528005129192
1,3492,-2.1252966704050777
0,3492,-1.8617095015360974
1,3493,-2.25582454924006
0,3493,-1.8600427719939034
0,3496,-1.8588603809039341
0,3503,-1.8578217812319053
0,3509,-1.8578517087735236
0,3519,-1.8583499456435675
0,3528,-1.8601420672930544
0,3536,-1.8587751142913476
0,3580,-1.8579951141146012
0,3583,-1.855809144806699
1,3638,-2.2640382547251647
0,3638,-1.8596091446379432
1,3642,-2.260936719321762
0,3642,-1.8578919102437794
1,3645,-2.26042422131286
0,3645,-1.8576594122423558
1,3646,-2.262454821175197
0,3646,-1.8577088665333577
1,3802,-2.293208526316448
0,3802,-1.886833866024972
1,3853,-2.297831454197876
1,4047,-2.3216114536917303
0,4047,-1.9550038651941577
1,4230,-2.4339225701260148
0,4230,-2.065473864218802
1,4231,-2.5475454018596793
0,4232,-2.0964703444042243
1,4343,-2.661080400663195
0,4343,-2.370722370047588
1,4422,-2.665980400488479
0,4422,-2.375622369872872
1,4510,-2.6951853998034494
0,4510,-2.404827369187842
1,4522,-2.6988753996411106
0,4522,-2.4147273688431596
0,4563,-2.4141373686725274
1,4583,-2.698740399471717
0,4583,-2.413997368508717
1,4758,-2.7857003986428026
0,4758,-2.5009573676798027
1,4789,-2.783281678945059
0,4789,-2.5016623673582217
1,4807,-2.7844428035459714
0,4810,-2.5014824939426035
1,5011,-2.8070628028799547
0,5011,-2.5241024932765868
1,5065,-2.8385970563685987
0,5065,-2.5429574927838985
1,5117,-2.962407548984629
0,5117,-2.634219489817042
1,5246,-3.08295625365281
0,5246,-2.726629488824983
0,5277,-2.7246494886494474
1,5582,-3.0896112533373525
0,5582,-2.73130448833399
1,5632,-3.0905978954106104
0,5632,-2.7313244881661376
1,6007,-3.23330794958747
0,6007,-2.7996821929555153
1,6080,-3.233353436633479
0,6105,-2.799437111345469
1,6163,-3.3770648490753956
0,6368,-2.9066471102123614
1,6404,-3.399714924773434
1,6411,-3.4009299245954026
0,6411,-2.9411571095552063
1,6418,-3.4006699244200718
0,6418,-2.9408921093854588
1,6635,-3.43373801834241
0,6635,-2.956588758970611
1,6682,-3.434551882863161
0,6712,-2.956358758805436
1,6742,-3.4348725305026164
0,6742,-2.956778758467408
1,6825,-3.4351625303388573
0,6825,-2.957068758303649
1,7326,-3.4669185105594806
0,7326,-2.9862554168939823
1,7336,-3.4687801980617223
0,7336,-2.987492104395642
1,7444,-3.466085197898792
0,7444,-2.9844693622580962
1,7502,-3.4703401322476566
0,7502,-2.9895115874824114
1,7510,-3.4890385542676086
0,7510,-2.994241587308352
1,7669,-3.5205326945870183
0,7669,-3.0043188101262785
1,7671,-3.519070296693826
0,7684,-2.9923089795629494
1,7727,-3.520384525254485
1,7728,-3.521982129634125
0,7731,-2.9919089793838793
1,7776,-3.621813017714885
0,7776,-3.0453589785611257
1,7946,-3.61840672303515
0,7946,-3.0449239780718926
1,8044,-3.7244817221944686
0,8044,-3.150998977231211
1,8083,-3.773736177085084
0,8085,-3.166203976754332
1,8101,-3.7923859078873647
1,8122,-3.799975907721091
0,8122,-3.2223954716755543
1,8158,-3.810191746611963
