model_type,sequence_number,pnl
0,265,-0.11566900947946124
1,342,0.0005302456847857684
0,342,-0.11535328603349626
1,397,0.0013200867251725867
0,397,-0.1090365241834661
1,1478,-0.047274544442188926
0,1478,-0.20882349148450885
0,1818,-0.23999199204263277
1,2075,-0.009420700676855631
0,2075,-0.24467253574403003
1,2372,-0.03667273289465811
0,2372,-0.2781189768720651
1,2385,-0.04374909277248662
0,2385,-0.2924120378011139
1,2393,-0.041788318601902574
0,2393,-0.28834643511800095
0,2408,-0.28425422035797965
0,2433,-0.28498111353837885
1,2570,-0.04848563551786356
1,2600,-0.0533347993332427
0,2600,-0.2874397590494482
1,3399,-0.15961700612388086
0,3399,-0.4869481019268278
1,3401,-0.1624961305205943
0,3401,-0.4951486527425004
1,3501,-0.21447829921089578
0,3501,-0.5467991497716866
1,3580,-0.21408870806044433
0,3580,-0.5465952936792746
1,3584,-0.21352265735913534
0,3584,-0.5463110987911932
1,3767,-0.21567044491530396
0,3767,-0.5536153963330435
1,3828,-0.21579310452216305
0,3828,-0.5545982335752342
1,3886,-0.21533865411765873
0,3886,-0.5543392476247391
1,4019,-0.2133879170869477
0,4019,-0.5533970695978496
1,4103,-0.21061892788566183
0,4103,-0.552798049597186
1,4472,-0.2839852667239029
0,4474,-0.7179164000117453
1,4476,-0.2843491345120128
0,4476,-0.725186730895075
1,4477,-0.28626774478470907
0,4477,-0.7336120572726941
0,4609,-0.7376264428603463
0,4610,-0.7376256254938198
1,4820,-0.28345001183333807
0,4820,-0.736216718039941
1,4998,-0.2830572014354402
0,4998,-0.7357888358237687
1,5094,-0.2614124049578095
0,5094,-0.7145264646824216
1,5629,-0.25930536606756505
0,5629,-0.7120415323297493
1,5802,-0.26826420592260547
0,5802,-0.7182671505579492
1,5950,-0.2678436434507603
0,5950,-0.7178056513657793
1,6083,-0.22536225568910595
0,6083,-0.6965607868914958
1,6571,-0.3422596805903595
0,6571,-0.8649988680408569
1,6682,-0.34183100775408093
0,6682,-0.8647416615422117
1,6924,-0.34166529698995873
0,6924,-0.8646496739675058
1,6949,-0.38226021849550307
0,6949,-0.8850673080596607
1,6952,-0.40909635853313375
0,6952,-0.8983861180604436
0,7019,-0.8915096098789945
0,7020,-0.891433637283626
